id,name,set_name,pricecharting_id,pc_product_name,pc_console_name,name_score,set_score,reason
sv3pt5-85,Dodrio,151.0,5809466,Dodrio #85,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-94,Gengar,151.0,5809475,Gengar #94,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
sv3pt5-88,Grimer,151.0,5809469,Grimer #88,Pokemon Scarlet & Violet 151,0.8,0.19,set_mismatch
svp-109,Ampharos,Scarlet & Violet Black Star Promos,6903565,Ampharos #109,Pokemon Promo,0.8,0.36,set_mismatch
svp-111,Pawniard,Scarlet & Violet Black Star Promos,6903573,Pawniard #111,Pokemon Promo,0.8,0.36,set_mismatch
svp-138,Porygon2,Scarlet & Violet Black Star Promos,7456537,Porygon2 #138,Pokemon Promo,0.8,0.36,set_mismatch
svp-23,Smoliv,Scarlet & Violet Black Star Promos,5298575,Smoliv #23,Pokemon Promo,0.8,0.36,set_mismatch
svp-26,Varoom,Scarlet & Violet Black Star Promos,5298579,Varoom #26,Pokemon Promo,0.8,0.36,set_mismatch
svp-52,Mewtwo,Scarlet & Violet Black Star Promos,5862199,Mewtwo #52,Pokemon Promo,0.8,0.36,set_mismatch
svp-57,Chi-Yu,Scarlet & Violet Black Star Promos,5927038,Chi-Yu #57,Pokemon Promo,0.8,0.36,set_mismatch
svp-82,Quaxly,Scarlet & Violet Black Star Promos,6331621,Quaxly #82,Pokemon Promo,0.8,0.36,set_mismatch
svp-90,Metang,Scarlet & Violet Black Star Promos,6635130,Metang #90,Pokemon Promo,0.8,0.36,set_mismatch
svp-95,Cleffa,Scarlet & Violet Black Star Promos,6518231,Cleffa #95,Pokemon Promo,0.8,0.36,set_mismatch
swshp-SWSH058,Alcremie,SWSH Black Star Promos,3449473,Alcremie #257,Pokemon Japanese Shiny Star V,0.8,0.35,set_mismatch
swshp-SWSH125,Galarian Moltres,SWSH Black Star Promos,2870992,Galarian Moltres #SWSH125,Pokemon Promo,0.8,0.4,set_mismatch
swshp-SWSH137,Light Toxtricity,SWSH Black Star Promos,2618202,Light Toxtricity #SWSH137,Pokemon Celebrations,0.8,0.19,set_mismatch
swshp-SWSH155,Greninja V-UNION,SWSH Black Star Promos,2720044,Greninja V-Union #SWSH155,Pokemon Promo,0.8,0.4,set_mismatch
swshp-SWSH167,Professor Burnet,SWSH Black Star Promos,2674827,Professor Burnet #SWSH167,Pokemon Promo,0.8,0.4,set_mismatch
swshp-SWSH279,Inteleon,SWSH Black Star Promos,3449442,Inteleon #226,Pokemon Japanese Shiny Star V,0.8,0.35,set_mismatch
swshp-SWSH296,Champions Festival,SWSH Black Star Promos,6143182,Champion's Festival #SWSH296,Pokemon Promo,0.8,0.4,set_mismatch
tk2b-10,Potion,EX Trainer Kit 2 Minun,7401311,Potion #10,Pokemon Japanese Feraligatr Starter Deck,0.8,0.29,set_mismatch
xyp-XY07,Xerneas-EX,XY Black Star Promos,844557,Xerneas EX #XY07,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY121,Charizard-EX,XY Black Star Promos,844584,Charizard EX #XY121,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY122,Blastoise-EX,XY Black Star Promos,844585,Blastoise EX #XY122,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY128,White Kyurem,XY Black Star Promos,844591,White Kyurem #XY128,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY170,Salamence-EX,XY Black Star Promos,844639,Salamence EX #XY170,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY173,Volcanion-EX,XY Black Star Promos,844642,Volcanion EX #XY173,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY181,Crobat BREAK,XY Black Star Promos,844652,Crobat BREAK #XY181,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY19,Delphox-EX,XY Black Star Promos,844661,Delphox EX #XY19,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY45,Gallade-EX,XY Black Star Promos,844710,Gallade EX #XY45,Pokemon Promo,0.8,0.42,set_mismatch
xyp-XY84,Pikachu-EX,XY Black Star Promos,844750,Pikachu EX #XY84,Pokemon Promo,0.8,0.42,set_mismatch
bwp-BW36,Reshiram-EX,BW Black Star Promos,1563433,Reshiram EX #BW36,Pokemon Promo,0.81,0.42,set_mismatch
bwp-BW39,Battle City,BW Black Star Promos,1563436,Battle City #BW39,Pokemon Promo,0.81,0.42,set_mismatch
bwp-BW47,Rayquaza-EX,BW Black Star Promos,1563495,Rayquaza EX #BW47,Pokemon Promo,0.81,0.42,set_mismatch
bwp-BW96,Tornadus-EX,BW Black Star Promos,1563491,Tornadus EX #BW96,Pokemon Promo,0.81,0.42,set_mismatch
dpp-DP18,Palkia LV.X,DP Black Star Promos,845060,Palkia LV.X #DP18,Pokemon Promo,0.81,0.48,set_mismatch
dpp-DP17,Dialga LV.X,DP Black Star Promos,845059,Dialga LV.X #DP17,Pokemon Promo,0.81,0.48,set_mismatch
dpp-DP28,Mewtwo LV.X,DP Black Star Promos,845070,Mewtwo LV.X #DP28,Pokemon Promo,0.81,0.48,set_mismatch
dpp-DP43,Probopass G,DP Black Star Promos,845085,Probopass G #DP43,Pokemon Promo,0.81,0.48,set_mismatch
dpp-DP42,Carnivine G,DP Black Star Promos,845084,Carnivine G #DP42,Pokemon Promo,0.81,0.48,set_mismatch
dpp-DP56,Arceus LV.X,DP Black Star Promos,845098,Arceus LV.X #DP56,Pokemon Promo,0.81,0.48,set_mismatch
en-bss-7,Hitmonchan Holo,Base Set 1st Edition,630420,Hitmonchan #7,Pokemon Base Set,0.81,0.44,set_mismatch
en-fo-1,Aerodactyl Holo,Fossil 1st Edition,643396,Aerodactyl #1,Pokemon Fossil,0.81,0.38,set_mismatch
en-g2-10,Koga's Ditto Holo,Gym Challenge 1st Edition,762216,Koga's Ditto #10,Pokemon Gym Challenge,0.81,0.57,set_mismatch
en-ltr-RC11,Meloetta EX,Legendary Treasures Radiant Collection,957612,Meloetta EX #RC11,Pokemon Legendary Treasures,0.81,0.58,set_mismatch
en-n1-4,Feraligatr Holo,Neo Genesis 1st Edition,762326,Feraligatr #4,Pokemon Neo Genesis,0.81,0.52,set_mismatch
en-n1-5,Feraligatr Holo,Neo Genesis 1st Edition,2511630,Feraligatr #5,Pokemon Neo Genesis,0.81,0.52,set_mismatch
en-pr-206a,Reset Stamp,Alternate Art Promos,2674695,Reset Stamp #206a,Pokemon Unified Minds,0.81,0.2,set_mismatch
en-pr-BW47,Rayquaza EX,Black and White Promos,1563495,Rayquaza EX #BW47,Pokemon Promo,0.81,0.46,set_mismatch
en-pr-BW39,Battle City,Black and White Promos,1563436,Battle City #BW39,Pokemon Promo,0.81,0.46,set_mismatch
en-pr-DP28,Mewtwo Lv.X,Diamond and Pearl Promo,845070,Mewtwo LV.X #DP28,Pokemon Promo,0.81,0.5,set_mismatch
en-pr-DP42,Carnivine G,Diamond and Pearl Promo,845084,Carnivine G #DP42,Pokemon Promo,0.81,0.5,set_mismatch
en-pr-DP43,Probopass G,Diamond and Pearl Promo,845085,Probopass G #DP43,Pokemon Promo,0.81,0.5,set_mismatch
en-pr-DP37,Dialga Lv.X,Diamond and Pearl Promo,845079,Dialga LV.X #DP37,Pokemon Promo,0.81,0.5,set_mismatch
en-pr-DP56,Arceus Lv.X,Diamond and Pearl Promo,845098,Arceus LV.X #DP56,Pokemon Promo,0.81,0.5,set_mismatch
en-pr-DP53,Arceus Lv.X,Diamond and Pearl Promo,845095,Arceus LV.X #DP53,Pokemon Promo,0.81,0.5,set_mismatch
en-smp-SM108,Ash's Pikachu,Sun & Moon Black Star Promo,844790,Ash's Pikachu #SM108,Pokemon Promo,0.81,0.47,set_mismatch
